product_att_01;product_att_02;product_att_05;store_cluster;week_start_date;predicted_quantity
1,0;1,0;1,0;0;2025-05-05;9,909271818188067
1,0;1,0;1,0;0;2025-05-12;9,909271818188067
1,0;1,0;1,0;0;2025-05-19;9,909271818188067
1,0;1,0;1,0;0;2025-05-26;9,909271818188067
1,0;1,0;1,0;0;2025-06-02;9,909271818188067
1,0;1,0;1,0;0;2025-06-09;9,909271818188067
1,0;1,0;1,0;0;2025-06-16;9,909271818188067
1,0;1,0;1,0;0;2025-06-23;9,909271818188067
1,0;1,0;1,0;0;2025-06-30;9,909271818188067
1,0;1,0;1,0;0;2025-07-07;9,909271818188067
1,0;1,0;1,0;0;2025-07-14;9,909271818188067
1,0;1,0;1,0;0;2025-07-21;9,909271818188067
1,0;1,0;1,0;1;2025-05-05;7,688962419879097
1,0;1,0;1,0;1;2025-05-12;7,688962419879097
1,0;1,0;1,0;1;2025-05-19;7,688962419879097
1,0;1,0;1,0;1;2025-05-26;7,688962419879097
1,0;1,0;1,0;1;2025-06-02;7,688962419879097
1,0;1,0;1,0;1;2025-06-09;7,688962419879097
1,0;1,0;1,0;1;2025-06-16;7,688962419879097
1,0;1,0;1,0;1;2025-06-23;7,688962419879097
1,0;1,0;1,0;1;2025-06-30;7,688962419879097
1,0;1,0;1,0;1;2025-07-07;7,688962419879097
1,0;1,0;1,0;1;2025-07-14;7,688962419879097
1,0;1,0;1,0;1;2025-07-21;7,688962419879097
1,0;1,0;1,0;2;2025-05-05;13,60640712278112
1,0;1,0;1,0;2;2025-05-12;13,60640712278112
1,0;1,0;1,0;2;2025-05-19;13,60640712278112
1,0;1,0;1,0;2;2025-05-26;13,60640712278112
1,0;1,0;1,0;2;2025-06-02;13,60640712278112
1,0;1,0;1,0;2;2025-06-09;13,60640712278112
1,0;1,0;1,0;2;2025-06-16;13,60640712278112
1,0;1,0;1,0;2;2025-06-23;13,60640712278112
1,0;1,0;1,0;2;2025-06-30;13,60640712278112
1,0;1,0;1,0;2;2025-07-07;13,60640712278112
1,0;1,0;1,0;2;2025-07-14;13,60640712278112
1,0;1,0;1,0;2;2025-07-21;13,60640712278112
1,0;1,0;1,0;3;2025-05-05;6,720357026913889
1,0;1,0;1,0;3;2025-05-12;6,720357026913889
1,0;1,0;1,0;3;2025-05-19;6,720357026913889
1,0;1,0;1,0;3;2025-05-26;6,720357026913889
1,0;1,0;1,0;3;2025-06-02;6,720357026913889
1,0;1,0;1,0;3;2025-06-09;6,720357026913889
1,0;1,0;1,0;3;2025-06-16;6,720357026913889
1,0;1,0;1,0;3;2025-06-23;6,720357026913889
1,0;1,0;1,0;3;2025-06-30;6,720357026913889
1,0;1,0;1,0;3;2025-07-07;6,720357026913889
1,0;1,0;1,0;3;2025-07-14;6,720357026913889
1,0;1,0;1,0;3;2025-07-21;6,720357026913889
1,0;1,0;2,0;0;2025-05-05;701,4104090555521
1,0;1,0;2,0;0;2025-05-12;701,4104090555521
1,0;1,0;2,0;0;2025-05-19;701,4104090555521
1,0;1,0;2,0;0;2025-05-26;701,4104090555521
1,0;1,0;2,0;0;2025-06-02;701,4104090555521
1,0;1,0;2,0;0;2025-06-09;701,4104090555521
1,0;1,0;2,0;0;2025-06-16;696,4706037525436
1,0;1,0;2,0;0;2025-06-23;696,4706037525436
1,0;1,0;2,0;0;2025-06-30;696,4706037525436
1,0;1,0;2,0;0;2025-07-07;696,4706037525436
1,0;1,0;2,0;0;2025-07-14;696,4706037525436
1,0;1,0;2,0;0;2025-07-21;696,4706037525436
1,0;1,0;2,0;1;2025-05-05;52,08046114190401
1,0;1,0;2,0;1;2025-05-12;52,08046114190401
1,0;1,0;2,0;1;2025-05-19;52,08046114190401
1,0;1,0;2,0;1;2025-05-26;52,08046114190401
1,0;1,0;2,0;1;2025-06-02;52,08046114190401
1,0;1,0;2,0;1;2025-06-09;52,08046114190401
