product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
2.0,94.0,77.0,Giyim,Pantolon,Jean,2,2024-08-19,162,788.3939285714285,772.72,0.03745303328686874,0.046712408453821325
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,2,2023-09-18,162,498.27280898876404,498.14,0.03931784536522339,0.03333511834636393
3.0,913.0,31.0,Aksesuar,Ayk.Bakım Malzemeleri,Ayakkabı Bakım Ürünleri,0,2024-12-02,162,109.91626506024096,99.99,0.009250443610003621,0.010986330807209671
1.0,1.0,5.0,Ayakkabı,Ayakkabı,Basketbol Ayakkabısı,0,2023-11-13,162,1816.7095402298849,1817.27,0.00019605940487538425,0.00029981906375777374
3.0,33.0,55.0,Aksesuar,İç Çamaşır,İç Çamaşır,0,2023-09-04,162,218.34074074074073,227.26,0.1452768879969417,0.06461577255248062
2.0,94.0,77.0,Giyim,Pantolon,Jean,2,2024-01-22,162,694.38044,712.04,0.03381037215067947,0.050433618227657406
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,2,2023-10-02,162,590.35045,559.065,0.0291955882656987,0.028004705414407867
3.0,925.0,57.0,Aksesuar,Şapka,Şapka,0,2024-03-25,162,456.0177777777778,454.54,0.01027039163633436,0.007957303218695312
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2024-12-30,162,1135.4880645161293,1227.27,0.03205394138892484,0.03233644844960655
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2025-07-14,162,2231.124235294118,1954.5349999999999,0.018118060338031438,0.015892913451976926
3.0,18.0,69.0,Aksesuar,Aksesuar,Parfüm,0,2024-09-09,162,421.8053086419753,833.32,0.44444444444444453,0.09432422327277283
2.0,920.0,11.0,Giyim,Atlet,Atlet,0,2023-06-19,162,337.1420430107527,295.37,0.04534383282138314,0.043009112931582105
1.0,924.0,9.0,Ayakkabı,Terlik & Sandalet,Terlik,2,2025-02-10,162,1210.9632710280373,1299.55,0.01243408039569786,0.006891003616433017
1.0,924.0,9.0,Ayakkabı,Terlik & Sandalet,Terlik,2,2025-06-02,162,1121.4033181818181,1075.025,0.04693272058348362,0.016260525365389418
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2024-11-18,162,1150.5131460674156,1036.35,0.02603083573265421,0.02342069843641038
