gonderen_depo;alan_magaza;urun;baslangic_depo_stok;ihtiyac_adet;karsilanan_adet;kalan_ihtiyac;depo_sevk_toplam;depo_kalan_nihai
STOK_YOK;2301;10001-1FTAtmosphere38-39;0.000000;2;0;2;0;0.000000
STOK_YOK;1801;10001-1FTAtmosphere38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-1FTAtmosphere38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-1FTAtmosphere38-39;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-1FTAtmosphere41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;2101;10001-1FTAtmosphere41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;1901;10001-1FTAtmosphere41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;301;10001-1FTAtmosphere41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;1301;10001-1FTAtmosphere41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1401;10001-1FTAtmosphere41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;2301;10001-1FTAtmosphere41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;2301;10001-1FTAtmosphere42-43;0.000000;3;0;3;0;0.000000
STOK_YOK;2101;10001-1FTAtmosphere42-43;0.000000;3;0;3;0;0.000000
STOK_YOK;1101;10001-1FTAtmosphere42-43;0.000000;2;0;2;0;0.000000
STOK_YOK;1601;10001-1FTAtmosphere42-43;0.000000;2;0;2;0;0.000000
STOK_YOK;301;10001-1FTAtmosphere42-43;0.000000;2;0;2;0;0.000000
STOK_YOK;1301;10001-1FTAtmosphere42-43;0.000000;1;0;1;0;0.000000
STOK_YOK;1801;10001-1FTAtmosphere42-43;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-1FTAtmosphere42-43;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;1401;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;1801;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2301;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2401;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-2Q9Latte37-38;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-2Q9Latte41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;2301;10001-2Q9Latte41-42;0.000000;2;0;2;0;0.000000
STOK_YOK;1101;10001-2Q9Latte41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-2Q9Latte41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;301;10001-2Q9Latte41-42;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-2Q9Latte45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-2Q9Latte45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1801;10001-2Q9Latte45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;2101;10001-2Q9Latte45-46;0.000000;1;0;1;0;0.000000
STOK_YOK;1101;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1301;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1601;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
STOK_YOK;1901;10001-3YOPond36-37;0.000000;1;0;1;0;0.000000
