gonderen_depo,alan_magaza,urun,baslangic_depo_stok,ihtiyac_adet,karsilanan_adet,kalan_ihtiyac,depo_sevk_toplam,depo_kalan_nihai
900101,0201,129525-BKLVSiyah/Lavanta37,1.0,2,1,1,1,0.0
STOK_YOK,0201,140218-BBKSiyah40,0.0,2,0,2,0,0.0
STOK_YOK,0201,149821-BKMTSiyah/Çoklu38.5,0.0,2,0,2,0,0.0
STOK_YOK,0201,150066TK-BBKSiyah37.5,0.0,2,0,2,0,0.0
STOK_YOK,0201,150067TK-BKRGSiyah/Pembe Altın37.5,0.0,2,0,2,0,0.0
STOK_YOK,2001,150067TK-BKRGSiyah/Pembe Altın37.5,0.0,2,0,2,0,0.0
STOK_YOK,1801,150067TK-BKRGSiyah/Pembe Altın37.5,0.0,1,0,1,0,0.0
STOK_YOK,2101,150067TK-BKRGSiyah/Pembe Altın37.5,0.0,1,0,1,0,0.0
STOK_YOK,0201,150067TK-BKRGSiyah/Pembe Altın38,0.0,2,0,2,0,0.0
STOK_YOK,0301,150067TK-BKRGSiyah/Pembe Altın38,0.0,2,0,2,0,0.0
STOK_YOK,2101,150067TK-BKRGSiyah/Pembe Altın38,0.0,2,0,2,0,0.0
STOK_YOK,2301,150067TK-BKRGSiyah/Pembe Altın38,0.0,2,0,2,0,0.0
STOK_YOK,1801,150067TK-BKRGSiyah/Pembe Altın38,0.0,1,0,1,0,0.0
STOK_YOK,0301,150093-NTMTNatürel/Çoklu38,0.0,2,0,2,0,0.0
STOK_YOK,1901,150093-NTMTNatürel/Çoklu38,0.0,2,0,2,0,0.0
STOK_YOK,0201,150093-NTMTNatürel/Çoklu38,0.0,1,0,1,0,0.0
STOK_YOK,2401,150093-NTMTNatürel/Çoklu38,0.0,1,0,1,0,0.0
STOK_YOK,0201,150141TK-BBKSiyah37,0.0,1,0,1,0,0.0
STOK_YOK,0301,1605030223-001Siyah41-44,0.0,3,0,3,0,0.0
STOK_YOK,0201,1605030223-001Siyah41-44,0.0,1,0,1,0,0.0
STOK_YOK,0201,1605030723-100Beyaz41-44,0.0,4,0,4,0,0.0
STOK_YOK,1101,1605030723-100Beyaz41-44,0.0,2,0,2,0,0.0
STOK_YOK,1401,1605030723-100Beyaz41-44,0.0,2,0,2,0,0.0
STOK_YOK,1801,1605030723-100Beyaz41-44,0.0,2,0,2,0,0.0
STOK_YOK,1901,1605030723-100Beyaz41-44,0.0,2,0,2,0,0.0
STOK_YOK,2301,1605030723-100Beyaz41-44,0.0,1,0,1,0,0.0
STOK_YOK,0201,166800CSIYAH / BEYAZ / GUM38,0.0,2,0,2,0,0.0
STOK_YOK,0201,180009-OWGNKırık Beyaz/Yeşil37.5,0.0,2,0,2,0,0.0
STOK_YOK,1901,180009-OWGNKırık Beyaz/Yeşil37.5,0.0,2,0,2,0,0.0
STOK_YOK,0201,180009-OWGNKırık Beyaz/Yeşil40,0.0,2,0,2,0,0.0
STOK_YOK,0201,180107011-NGTNIGHTM,0.0,2,0,2,0,0.0
STOK_YOK,1101,190107002-SNWSNOW-WHITEM,0.0,2,0,2,0,0.0
STOK_YOK,0201,190107002-SNWSNOW-WHITEM,0.0,1,0,1,0,0.0
STOK_YOK,1301,190107002-SNWSNOW-WHITEM,0.0,1,0,1,0,0.0
STOK_YOK,0201,190107002-SNWSNOW-WHITEXXL,0.0,2,0,2,0,0.0
STOK_YOK,1101,190107002-SNWSNOW-WHITEXXL,0.0,1,0,1,0,0.0
910101,0201,19293038Warm Earth/Puma Black26,6.0,2,2,0,4,2.0
910101,1601,19293038Warm Earth/Puma Black26,6.0,2,2,0,4,2.0
STOK_YOK,0201,1VTAKTM33110-034MAVİ1100ML,0.0,1,0,1,0,0.0
STOK_YOK,0201,206991-6WCVarsity Red32-33,0.0,2,0,2,0,0.0
STOK_YOK,1901,207005-6GDBallerina Pink27-28,0.0,2,0,2,0,0.0
